Design Complexity,Labeling Method,rmse_train_LR,rmse_test_LR,r2_train_LR,r2_test_LR,rmse_train_BR,rmse_test_BR,r2_train_BR,r2_test_BR,rmse_train_RF,rmse_test_RF,r2_train_RF,r2_test_RF,rmse_train_DT,rmse_test_DT,r2_train_DT,r2_test_DT,rmse_train_SVR,rmse_test_SVR,r2_train_SVR,r2_test_SVR
Auto,Discrete,0.77,0.94,0.75,0.51,0.77,0.94,0.75,0.51,0.32,1.12,0.96,0.30,0.19,1.17,0.99,0.24,0.71,1.03,0.78,0.42
Auto,Percentage,15.32,21.08,0.80,0.53,15.32,21.03,0.80,0.53,6.71,25.76,0.96,0.30,4.66,32.63,0.98,-0.12,12.89,25.91,0.86,0.29
Auto,SSIM,0.34,0.40,0.72,0.51,0.34,0.40,0.71,0.52,0.20,0.45,0.91,0.38,0.15,0.52,0.95,0.16,0.31,0.42,0.77,0.45
Auto,Manual,0.76,0.85,0.73,0.61,0.76,0.85,0.73,0.61,0.32,1.22,0.95,0.18,0.20,1.47,0.98,-0.19,0.64,1.02,0.81,0.43
Manual,Discrete,0.76,0.94,0.76,0.52,0.76,0.93,0.76,0.52,0.26,1.10,0.97,0.33,0.00,1.07,1.00,0.37,0.49,1.03,0.90,0.41
Manual,Percentage,15.11,20.59,0.81,0.55,15.12,20.53,0.81,0.56,7.29,23.12,0.96,0.44,0.28,23.15,1.00,0.43,12.03,18.96,0.88,0.62
Manual,SSIM,0.34,0.40,0.72,0.51,0.34,0.40,0.72,0.51,0.17,0.39,0.93,0.52,0.07,0.33,0.99,0.67,0.29,0.36,0.80,0.61
Manual,Manual,0.75,0.85,0.73,0.60,0.76,0.85,0.73,0.60,0.47,1.08,0.90,0.36,0.11,1.30,0.99,0.07,0.67,0.91,0.79,0.54
